epoch,train_loss,val_loss,val_iou
1,0.1755,0.1310,0.9045
2,0.0876,0.0708,0.9480
3,0.0690,0.0654,0.9526
4,0.0599,0.0573,0.9590
5,0.0540,0.0507,0.9638
6,0.0479,0.0426,0.9693
7,0.0459,0.0466,0.9678
8,0.0437,0.0409,0.9710
9,0.0404,0.0429,0.9695
10,0.0403,0.0392,0.9724
11,0.0369,0.0381,0.9731
12,0.0364,0.0391,0.9723
13,0.0348,0.0356,0.9748
14,0.0329,0.0367,0.9743
15,0.0325,0.0344,0.9757
16,0.0313,0.0372,0.9737
17,0.0311,0.0343,0.9764
18,0.0295,0.0331,0.9767
19,0.0284,0.0351,0.9752
20,0.0285,0.0325,0.9778
